id,question
0,What's the total cook time for the Ground Beef Gyros?
0,What kind of meat is recommended in the Ground Beef Gyros recipe?
0,How is the Ground Beef Gyros served according to the directions?
0,What rating did the Ground Beef Gyros recipe receive?
0,Do the Ground Beef Gyros include a sauce with cucumbers?
1,How long does the Lasagna recipe take from start to finish?
1,What's the main protein in this Lasagna recipe?
1,What kind of cheese does the Lasagna recipe use for layering?
1,Are the lasagna noodles pre-cooked before adding to the Lasagna recipe?
1,What temperature should the Lasagna be baked at?
2,What's the cooking time for The Best Easy Beef & Broccoli Stir-Fry?
2,Which type of steak is recommended for The Best Easy Beef & Broccoli Stir-Fry?
2,How is The Best Easy Beef & Broccoli Stir-Fry rated?
2,What ingredient is optional for garnishing The Best Easy Beef & Broccoli Stir-Fry?
2,What do you serve The Best Easy Beef & Broccoli Stir-Fry with?
3,How long does it take to make The Ultimate Greek Salad?
3,What type of olives are used in The Ultimate Greek Salad?
3,Can lettuce be included in The Ultimate Greek Salad?
3,How is the dressing for The Ultimate Greek Salad prepared?
3,What is the average rating for The Ultimate Greek Salad?
4,How long does it take to cook Easy Stovetop Macaroni 'n' Cheese?
4,What kind of pasta is used in the Easy Stovetop Macaroni 'n' Cheese recipe?
4,Does the Easy Stovetop Macaroni 'n' Cheese require baking?
4,What type of cheese is used in Easy Stovetop Macaroni 'n' Cheese?
4,What is the rating for the Easy Stovetop Macaroni 'n' Cheese recipe?
5,How long does Bev's Spaghetti Sauce need to cook?
5,What meat is used in Bev's Spaghetti Sauce?
5,What rating does Bev's Spaghetti Sauce have from users?
5,Does Bev's Spaghetti Sauce include mushrooms in the ingredients?
5,Is freshly grated Parmesan cheese considered optional in Bev's Spaghetti Sauce?
6,What is the cooking time for Perfect Southern Fried Chicken?
6,How many pieces of chicken are used in the Perfect Southern Fried Chicken recipe?
6,What is the purpose of covering the chicken in the Perfect Southern Fried Chicken recipe?
6,How is the chicken seasoned in the Perfect Southern Fried Chicken recipe before frying?
6,How many ratings does the Perfect Southern Fried Chicken recipe have?
7,What is the cooking time for Chicken Fried Rice?
7,How is the flavor of Chicken Fried Rice described compared to other recipes?
7,What type of oil is suggested to avoid using for cooking in the Chicken Fried Rice recipe?
7,How many green onions are used in Chicken Fried Rice?
7,What should be done with the egg in the Chicken Fried Rice recipe before it's added to the wok?
8,How long does it take to cook the Sloppy Joes?
8,What's the main protein used in the Sloppy Joes?
8,How is the onion prepared for the Sloppy Joes?
8,What is the optional ingredient in the Sloppy Joes recipe?
8,How many stars does the Sloppy Joes recipe have?
9,How long does it take to cook the Chicken Parmesan?
9,What is the main protein in the Chicken Parmesan recipe?
9,What kind of cheese is melted on top of the Chicken Parmesan?
9,Can I serve Chicken Parmesan with spaghetti according to the recipe?
9,What is the star rating given to the Chicken Parmesan recipe?
10,What's the star rating for the Leftover Mashed Potato Pancakes recipe?
10,How long does it take to cook the Leftover Mashed Potato Pancakes?
10,What are some optional ingredients in the Leftover Mashed Potato Pancakes?
10,How much mashed potatoes is needed for the Leftover Mashed Potato Pancakes?
10,What can you enjoy with the Leftover Mashed Potato Pancakes?
11,What is the main protein used in the Simple Pasta Toss?
11,How long does it take to cook the Simple Pasta Toss?
11,What is the star rating of the Simple Pasta Toss recipe?
11,Is Parmesan cheese necessary to make the Simple Pasta Toss?
11,What type of pasta is used in the Simple Pasta Toss?
12,What's the cook time for Scalloped Potatoes?
12,How many stars is the Scalloped Potatoes recipe rated?
12,Does the Scalloped Potatoes recipe include cayenne pepper?
12,Is there cheese used in making Scalloped Potatoes?
12,Can Scalloped Potatoes leftovers be enjoyed the next day according to the description?
13,How long does Jo Mama's World Famous Spaghetti take to cook?
13,What type of wine is recommended for Jo Mama's World Famous Spaghetti?
13,Which ingredient can be omitted from Jo Mama's World Famous Spaghetti?
13,How is the Italian sausage prepared in Jo Mama's World Famous Spaghetti?
13,What is sprinkled on top of Jo Mama's World Famous Spaghetti before serving?
14,What is the total cooking time for the Turkey Meatloaf?
14,How many stars does the Turkey Meatloaf recipe have?
14,What is the purpose of melting butter in the Turkey Meatloaf recipe?
14,How much ground turkey is needed for the Turkey Meatloaf?
14,What temperature should the oven be set to when baking the Turkey Meatloaf?
15,What's the Mexican Rice cooking time?
15,How many stars is the Mexican Rice recipe rated?
15,What kind of tomatoes are needed for Mexican Rice?
15,Does the Mexican Rice recipe mention cilantro?
15,Is chicken broth used in making Mexican Rice?
16,What is the cook time for Pizza Meatloaf Cups?
16,How much ground beef is needed for Pizza Meatloaf Cups?
16,What temperature should you bake Pizza Meatloaf Cups at?
16,Do Pizza Meatloaf Cups have any user ratings mentioned?
16,What should you do with Pizza Meatloaf Cups if you want to freeze them?
17,How long does it take to cook the Stovetop Tuna Casserole?
17,What kind of pasta is used in the Stovetop Tuna Casserole?
17,What star rating does the Stovetop Tuna Casserole have?
17,Is the Stovetop Tuna Casserole prepared in the oven or on the stovetop?
17,Does the description suggest the Stovetop Tuna Casserole is gourmet fare?
18,How much rice is needed for the Perfect Basic White Rice recipe?
18,What is the cooking time for Perfect Basic White Rice?
18,Can vinegar be used in the Perfect Basic White Rice recipe?
18,What does the Perfect Basic White Rice recipe use for flavor?
18,How should the heat be adjusted in the Perfect Basic White Rice recipe after covering the pan?
19,What's the cook time for the Perfect Rump Roast?
19,How many stars does the Perfect Rump Roast recipe have?
19,What should you never use when making the Perfect Rump Roast?
19,What's the first step in preparing the Perfect Rump Roast?
19,Which temperature should the oven be preheated to for the Perfect Rump Roast?
20,What kind of chicken is used in Japanese Mum's Chicken?
20,How long does it take to cook Japanese Mum's Chicken?
20,What is the main liquid ingredient used in Japanese Mum's Chicken?
20,How many stars is Japanese Mum's Chicken rated?
20,Does Japanese Mum's Chicken have a glaze or a sauce?
21,What is the name of the recipe that the family loves more than store-bought bread?
21,How much warm water is needed in the Famous Challah recipe?
21,"How long does it take to prepare the Famous Challah, including cook time?"
21,What is used to glaze the Famous Challah before baking?
21,What rating out of 5 stars does the Famous Challah recipe have?
22,What's the cook time for the Sweet & Sour Chicken?
22,Can you list the main ingredients in Sweet & Sour Chicken?
22,What does the Sweet & Sour Chicken recipe say to serve it with?
22,How did people rate the Sweet & Sour Chicken recipe?
22,Does the Sweet & Sour Chicken recipe include pineapple?
23,How long does it take to make the Potato and Buffalo Chicken Casserole?
23,What type of cheese is used in the topping for the Potato and Buffalo Chicken Casserole?
23,What is the oven temperature needed to roast the potatoes in the Potato and Buffalo Chicken Casserole?
23,How many ratings does the Potato and Buffalo Chicken Casserole have?
23,Does the Potato and Buffalo Chicken Casserole include ranch dressing as part of the serving suggestion?
24,What is the main ingredient in Skillet Tarragon Chicken?
24,How long does it take to cook the Skillet Tarragon Chicken?
24,What type of wine is used in Skillet Tarragon Chicken?
24,What is a suggested side dish for Skillet Tarragon Chicken?
