id,question
0,What are the main ingredients for the Ground Beef Gyros?
0,How long does it take to cook the Ground Beef Gyros?
0,What kind of sauce is recommended with the Ground Beef Gyros?
0,Can turkey be used instead of beef in Ground Beef Gyros?
0,How is the Ground Beef Gyros rated by those who have tried it?
1,How long does the Lasagna take to cook?
1,What type of cheese does the Lasagna recipe suggest using?
1,Can you use ricotta instead of cottage cheese in this Lasagna?
1,How do you prepare the baking pan for the Lasagna?
1,What is the oven temperature for baking the Lasagna?
2,What is the name of the recipe that claims to be easy to make?
2,How long does it take to cook The Best Easy Beef & Broccoli Stir-Fry?
2,What garnish is optionally suggested for The Best Easy Beef & Broccoli Stir-Fry?
2,What type of steak is recommended for The Best Easy Beef & Broccoli Stir-Fry?
2,How many stars has The Best Easy Beef & Broccoli Stir-Fry been rated?
3,How long does it take to make The Ultimate Greek Salad?
3,What type of olives does The Ultimate Greek Salad recipe use?
3,Can lettuce be included in The Ultimate Greek Salad according to the description?
3,What is the rating for The Ultimate Greek Salad?
3,What kind of cheese is used in The Ultimate Greek Salad?
4,How long does it take to make the Easy Stovetop Macaroni 'n' Cheese?
4,What kind of cheese is used in the Easy Stovetop Macaroni 'n' Cheese?
4,How is the Easy Stovetop Macaroni 'n' Cheese cooked?
4,What is the user rating for the Easy Stovetop Macaroni 'n' Cheese?
4,Do you need to bake the Easy Stovetop Macaroni 'n' Cheese?
5,How long do you need to cook Bev's Spaghetti Sauce?
5,What meat should you use in Bev's Spaghetti Sauce?
5,What type of cheese is suggested for topping Bev's Spaghetti Sauce?
5,How is the flavor of Bev's Spaghetti Sauce described by the creator?
5,What overall rating does Bev's Spaghetti Sauce have?
6,How much oil or shortening is recommended for the Perfect Southern Fried Chicken?
6,What is the total cooking time for the Perfect Southern Fried Chicken?
6,How many pieces is the chicken cut into for the Perfect Southern Fried Chicken?
6,What is the rating for the Perfect Southern Fried Chicken recipe?
6,What is the purpose of covering the chicken at the beginning of the cooking process in the Perfect Southern Fried Chicken?
7,How long does it take to cook Chicken Fried Rice?
7,What kind of meat can be used in Chicken Fried Rice?
7,When should sesame oil be added in the Chicken Fried Rice recipe?
7,What is the rating of the Chicken Fried Rice recipe?
7,What vegetables are included in the Chicken Fried Rice ingredients?
8,How long does it take to cook the Sloppy Joes?
8,What is the main protein ingredient in the Sloppy Joes?
8,What star rating does the Sloppy Joes recipe have?
8,Is mustard necessary in the Sloppy Joes recipe?
8,How are the onions prepared in the Sloppy Joes recipe?
9,How long does it take to cook the Chicken Parmesan?
9,What's the main protein ingredient in the Chicken Parmesan recipe?
9,How is the chicken seasoned in the Chicken Parmesan recipe?
9,What type of cheese is placed on top of the Chicken Parmesan?
9,Is serving spaghetti with the Chicken Parmesan mandatory according to the recipe?
10,How long does it take to cook the Leftover Mashed Potato Pancakes?
10,What ingredients do you need for Leftover Mashed Potato Pancakes?
10,What can you serve with Leftover Mashed Potato Pancakes?
10,What is the rating for the Leftover Mashed Potato Pancakes recipe?
10,Do the Leftover Mashed Potato Pancakes recipe include onions and chives as mandatory ingredients?
11,What's the main ingredient in Simple Pasta Toss?
11,How long does it take to prepare Simple Pasta Toss?
11,Can you add cheese to Simple Pasta Toss if you want?
11,What seasonings are used in Simple Pasta Toss?
11,Is there any chicken in Simple Pasta Toss?
12,What's the cooking time for the Scalloped Potatoes?
12,How much cheese goes into the Scalloped Potatoes?
12,Can you describe the Scalloped Potatoes recipe?
12,What rating did the Scalloped Potatoes receive?
12,What's the first step in preparing the Scalloped Potatoes?
13,How long does it take to cook Jo Mama's World Famous Spaghetti?
13,What type of meat is used in Jo Mama's World Famous Spaghetti?
13,How is the red wine described in Jo Mama's World Famous Spaghetti?
13,What should be sprinkled on Jo Mama's World Famous Spaghetti before serving?
13,What is added to Jo Mama's World Famous Spaghetti after bringing the sauce to a boil?
14,What is the total cooking time for the Turkey Meatloaf?
14,How many eggs or egg substitute is used in the Turkey Meatloaf recipe?
14,What is the oven temperature for baking the Turkey Meatloaf?
14,How many cloves of garlic are needed in the Turkey Meatloaf?
14,What is one of the main seasonings in the Turkey Meatloaf besides salt and pepper?
15,What's the total cooking time for the Mexican Rice recipe?
15,Can canned tomatoes be used in place of fresh ones for the Mexican Rice recipe?
15,How many jalapenos does the Mexican Rice recipe call for?
15,Does the Mexican Rice recipe include a step for using a rice cooker?
15,Is the Mexican Rice recipe described as having a tomato flavor?
16,How long do the Pizza Meatloaf Cups take to cook?
16,What kind of cheese is used in the Pizza Meatloaf Cups?
16,What temperature should the oven be set to for baking Pizza Meatloaf Cups?
16,Can Pizza Meatloaf Cups be frozen for later use?
16,How much ground beef is needed for the Pizza Meatloaf Cups recipe?
17,What is the name of the recipe that uses only a stovetop for cooking?
17,How long does it take to cook the Stovetop Tuna Casserole?
17,What type of cheese is included in the Stovetop Tuna Casserole ingredients?
17,How is the tuna prepared in the Stovetop Tuna Casserole recipe before adding it to the dish?
17,What is the overall rating of the Stovetop Tuna Casserole based on 32 reviews?
18,What is the name of this rice recipe?
18,How long does it take to cook Perfect Basic White Rice?
18,What is an optional ingredient in Perfect Basic White Rice?
18,What's the star rating for Perfect Basic White Rice?
18,What should you do after cooking Perfect Basic White Rice for 20 minutes?
19,What ingredients are needed for the Perfect Rump Roast?
19,How long does it take to make the Perfect Rump Roast?
19,How many stars does the Perfect Rump Roast recipe have?
19,What should you not use to cook the Perfect Rump Roast?
19,At what temperature should the oven be pre-heated for the Perfect Rump Roast?
20,What is the name of the chicken recipe shared by the Japanese girl?
20,How long does it take to cook the Japanese Mum's Chicken?
20,What specific ingredient in Japanese Mum's Chicken recipe is crucial for flavor and tasty to eat?
20,How many stars is Japanese Mum's Chicken recipe rated?
20,How do you finish the Japanese Mum's Chicken after cooking it in the liquid?
21,How long does it take to cook the Famous Challah from start to finish?
21,What kind of flour is used in the Famous Challah recipe?
21,What is the rating of the Famous Challah recipe?
21,What optional toppings are suggested for the glaze in the Famous Challah?
21,What is used to prepare the yeast mixture in the Famous Challah recipe?
22,How long does it take to cook the Sweet & Sour Chicken recipe?
22,What is the main protein used in the Sweet & Sour Chicken recipe?
22,What star rating does the Sweet & Sour Chicken recipe have?
22,What ingredient is used to add sweetness in the Sweet & Sour Chicken recipe?
22,Do I need to serve anything with the Sweet & Sour Chicken according to the recipe?
23,How long does the Potato and Buffalo Chicken Casserole take to cook?
